score,placa,tipo,candidato,fragmento,lectura,mutaciones,fuentes,count,tiene_strip
-154.6,ETS-692,AUTO LIVIANO,ETS692,E75492,E754920,3,combinado_baja_prioridad,1,False
-164.6,TSA-920,AUTO LIVIANO,TSA920,754920,E754920,3,combinado_baja_prioridad,1,False
-171.6,FTS-692,AUTO LIVIANO,FTS692,E75492,E754920,4,combinado_baja_prioridad,1,False
-181.6,F7-5492,MOTO ANTIGUA MIXTA,F75492,E75492,E754920,1,combinado_baja_prioridad,1,False
-187.6,E7-5692,MOTO ANTIGUA MIXTA,E75692,E75492,E754920,1,combinado_baja_prioridad,1,False
-187.6,E7-3492,MOTO ANTIGUA MIXTA,E73492,E75492,E754920,1,combinado_baja_prioridad,1,False
-187.6,E7-8492,MOTO ANTIGUA MIXTA,E78492,E75492,E754920,1,combinado_baja_prioridad,1,False
-204.6,F7-5692,MOTO ANTIGUA MIXTA,F75692,E75492,E754920,2,combinado_baja_prioridad,1,False
-204.6,F7-3492,MOTO ANTIGUA MIXTA,F73492,E75492,E754920,2,combinado_baja_prioridad,1,False
-204.6,F7-8492,MOTO ANTIGUA MIXTA,F78492,E75492,E754920,2,combinado_baja_prioridad,1,False
-210.6,E7-3692,MOTO ANTIGUA MIXTA,E73692,E75492,E754920,2,combinado_baja_prioridad,1,False
-210.6,E7-8692,MOTO ANTIGUA MIXTA,E78692,E75492,E754920,2,combinado_baja_prioridad,1,False
-227.6,F7-3692,MOTO ANTIGUA MIXTA,F73692,E75492,E754920,3,combinado_baja_prioridad,1,False
-227.6,F7-8692,MOTO ANTIGUA MIXTA,F78692,E75492,E754920,3,combinado_baja_prioridad,1,False
